=== PROCESS STARTED AT 2026-03-19 01:31:20 ===
Found 90 pending commissions
✅ Processed: user 113607, amount 0.004, process_date 2026-03-19 01:31:20
Processing: shonu=186542, user=113942, amount=2
✅ Processed: user 113942, amount 2, process_date 2026-03-19 01:31:20
Processing: shonu=186543, user=113930, amount=1.25
✅ Processed: user 113930, amount 1.25, process_date 2026-03-19 01:31:20
Processing: shonu=186544, user=113616, amount=0.4
✅ Processed: user 113616, amount 0.4, process_date 2026-03-19 01:31:20
Processing: shonu=186545, user=113615, amount=0.05
✅ Processed: user 113615, amount 0.05, process_date 2026-03-19 01:31:20
Processing: shonu=186546, user=113614, amount=0.025
✅ Processed: user 113614, amount 0.025, process_date 2026-03-19 01:31:20
Processing: shonu=186547, user=113607, amount=0.01
✅ Processed: user 113607, amount 0.01, process_date 2026-03-19 01:31:20
Processing: shonu=186548, user=113942, amount=0.4
✅ Processed: user 113942, amount 0.4, process_date 2026-03-19 01:31:20
Processing: shonu=186549, user=113930, amount=0.25
✅ Processed: user 113930, amount 0.25, process_date 2026-03-19 01:31:20
Processing: shonu=186550, user=113616, amount=0.08
✅ Processed: user 113616, amount 0.08, process_date 2026-03-19 01:31:20
Processing: shonu=186551, user=113615, amount=0.01
✅ Processed: user 113615, amount 0.01, process_date 2026-03-19 01:31:20
Processing: shonu=186552, user=113614, amount=0.005
✅ Processed: user 113614, amount 0.005, process_date 2026-03-19 01:31:20
Processing: shonu=186553, user=113607, amount=0.002
✅ Processed: user 113607, amount 0.002, process_date 2026-03-19 01:31:20
Processing: shonu=186554, user=113942, amount=0.8
✅ Processed: user 113942, amount 0.8, process_date 2026-03-19 01:31:20
Processing: shonu=186555, user=113930, amount=0.5
✅ Processed: user 113930, amount 0.5, process_date 2026-03-19 01:31:20
Processing: shonu=186556, user=113616, amount=0.16
✅ Processed: user 113616, amount 0.16, process_date 2026-03-19 01:31:20
Processing: shonu=186557, user=113615, amount=0.02
✅ Processed: user 113615, amount 0.02, process_date 2026-03-19 01:31:20
Processing: shonu=186558, user=113614, amount=0.01
✅ Processed: user 113614, amount 0.01, process_date 2026-03-19 01:31:20
Processing: shonu=186559, user=113607, amount=0.004
